,alpha,batch,trainsize,epochs,hl1,hl2/hl1,hl3/hl2,hl4/hl3,trainerror,TrainAUC,ValAUC
0,0.01,500,100000000,500000,50,0.7,0.5,0.0,0.427638977878,0.699432503979,0.685748495823
1,0.01,500,100000000,500000,50,0.7,0.5,0.5,0.427633430972,0.700557279188,0.685627740143
2,0.01,500,100000000,500000,50,0.7,0.0,0.0,0.427688335019,0.698675285709,0.687285947497
3,0.01,500,100000000,500000,50,0.7,0.0,0.5,0.427679433285,0.699904681593,0.685972224666
4,0.01,500,100000000,500000,50,0.5,0.5,0.0,0.427574165726,0.698264334785,0.685920700206
5,0.01,500,100000000,500000,50,0.5,0.5,0.5,0.429067915137,0.698658593907,0.686789256441
6,0.01,500,100000000,500000,50,0.5,0.0,0.0,0.428450835601,0.698366442467,0.687681727982
7,0.01,500,100000000,500000,50,0.5,0.0,0.5,0.427607343047,0.699060470998,0.68700305723
8,0.01,500,100000000,500000,50,0.7,0.5,0.0,0.427481162181,0.700127370581,0.685674983015
9,0.01,500,100000000,500000,50,0.7,0.5,0.5,0.428432842024,0.700183146979,0.686199781766
10,0.01,500,100000000,500000,50,0.7,0.0,0.0,0.429586470821,0.698938393185,0.686334126356
11,0.01,500,100000000,500000,50,0.7,0.0,0.5,0.428106510447,0.699599866141,0.684892896768
12,0.01,500,100000000,500000,32,0.7,0.5,0.0,0.429381885584,0.69672594301,0.687306915546
13,0.01,500,100000000,500000,32,0.7,0.5,0.5,0.429528819347,0.696981158768,0.688291136967
14,0.01,500,100000000,500000,32,0.7,0.0,0.0,0.429816010704,0.696671426696,0.688598582824
15,0.01,500,100000000,500000,32,0.7,0.0,0.5,0.429022441927,0.69733771306,0.687557349326
16,0.01,500,100000000,500000,32,0.5,0.5,0.0,0.42999098946,0.696398124494,0.68888182989
17,0.01,500,100000000,500000,32,0.5,0.5,0.5,0.42984347418,0.696669465491,0.688395756047
18,0.01,500,100000000,500000,32,0.5,0.0,0.0,0.429503971781,0.696548820794,0.687796562266
19,0.01,500,100000000,500000,32,0.5,0.0,0.5,0.430148925221,0.697070489559,0.688242832251
20,0.01,500,100000000,500000,32,0.7,0.5,0.0,0.429860665353,0.696982190976,0.688493090075
21,0.01,500,100000000,500000,32,0.7,0.5,0.5,0.429701841581,0.697236180936,0.6879855362
22,0.01,500,100000000,500000,32,0.7,0.0,0.0,0.430180109591,0.696266669494,0.687237537696
23,0.01,500,100000000,500000,32,0.7,0.0,0.5,0.42990068677,0.697510480835,0.686976068808
24,0.001,500,100000000,500000,50,0.7,0.5,0.0,0.432162886442,0.693437910309,0.688517710426
25,0.001,500,100000000,500000,50,0.7,0.5,0.5,0.432073779225,0.693236526414,0.688970357581
26,0.001,500,100000000,500000,50,0.7,0.0,0.0,0.43303300623,0.692873994887,0.688918118301
27,0.001,500,100000000,500000,50,0.7,0.0,0.5,0.431971306623,0.693212440159,0.688867417411
28,0.001,500,100000000,500000,50,0.5,0.5,0.0,0.432540587588,0.693291654393,0.688790994003
29,0.001,500,100000000,500000,50,0.5,0.5,0.5,0.432177794026,0.692462840904,0.688601275923
30,0.001,500,100000000,500000,50,0.5,0.0,0.0,0.432452127678,0.692828316159,0.688323366178
31,0.001,500,100000000,500000,50,0.5,0.0,0.5,0.431775147055,0.693367569094,0.688443210311
32,0.001,500,100000000,500000,50,0.7,0.5,0.0,0.432292852006,0.69344327366,0.688830310317
33,0.001,500,100000000,500000,50,0.7,0.5,0.5,0.432579785375,0.692885779838,0.68856778814
34,0.001,500,100000000,500000,50,0.7,0.0,0.0,0.432448264882,0.693193551476,0.688131622165
35,0.001,500,100000000,500000,50,0.7,0.0,0.5,0.431516039981,0.693220342294,0.688582481659
36,0.001,500,100000000,500000,32,0.7,0.5,0.0,0.431830455633,0.692386262061,0.688099922042
37,0.001,500,100000000,500000,32,0.7,0.5,0.5,0.432657705765,0.692074989277,0.687993395553
38,0.001,500,100000000,500000,32,0.7,0.0,0.0,0.432929300783,0.692142180866,0.687898946465
39,0.001,500,100000000,500000,32,0.7,0.0,0.5,0.432992462042,0.692794178656,0.688639653807
40,0.001,500,100000000,500000,32,0.5,0.5,0.0,0.432187801878,0.692655949591,0.688463098188
41,0.001,500,100000000,500000,32,0.5,0.5,0.5,0.431846575626,0.692137930084,0.687817639066
42,0.001,500,100000000,500000,32,0.5,0.0,0.0,0.432684491494,0.69199117324,0.687758841772
43,0.001,500,100000000,500000,32,0.5,0.0,0.5,0.433009641754,0.692723124111,0.688526603518
